,1,2,3,4,5,6,7,8,9,10,11,12,Plate 1,20260306
A,Blk,10,10,Exp3 C0 B0 (1/1),Exp3 C10 B0 (1/1),Exp3 C0 L0 (1/1),Exp3 C10 L0 (1/1),Exp4 C0 B0 (1/1),Exp4 C10 B0 (1/1),Exp4 C0 L0 (1/1),Exp4 C10 L0 (1/1),Exp3 DMSO 0 (1/1),,
B,Blk,5,5,Exp3 C0 B1 (1/1),Exp3 C10 B1 (1/1),Exp3 C0 L1 (1/1),Exp3 C10 L1 (1/1),Exp4 C0 B1 (1/1),Exp4 C10 B1 (1/1),Exp4 C0 L1 (1/1),Exp4 C10 L1 (1/1),Exp3 DMSO 1 (1/1),,Mistake in the preparation of the standards (wrong dilution)
C,NSB,2.5,2.5,Exp3 C0 B10 (1/1),Exp3 C10 B10 (1/1),Exp3 C0 L10 (1/1),Exp3 C10 L10 (1/1),Exp4 C0 B10 (1/1),Exp4 C10 B10 (1/1),Exp4 C0 L10 (1/1),Exp4 C10 L10 (1/1),Exp3 DMSO 10 (1/1),,
D,NSB,1.25,1.25,Exp3 C0 B100 (1/1),Exp3 C10 B100 (1/1),Exp3 C0 L100 (1/1),Exp3 C10 L100 (1/1),Exp4 C0 B100 (1/1),Exp4 C10 B100 (1/1),Exp4 C0 L100 (1/1),Exp4 C10 L100 (1/1),Exp3 DMSO 100 (1/1),,
E,B0,0.625,0.625,Exp3 C1 B0 (1/1),Exp3 C100 B0 (1/1),Exp3 C1 L0 (1/1),Exp3 C100 L0 (1/1),Exp4 C1 B0 (1/1),Exp4 C100 B0 (1/1),Exp4 C1 L0 (1/1),Exp4 C100 L0 (1/1),,,
F,B0,0.3125,0.3125,Exp3 C1 B1 (1/1),Exp3 C100 B1 (1/1),Exp3 C1 L1 (1/1),Exp3 C100 L1 (1/1),Exp4 C1 B1 (1/1),Exp4 C100 B1 (1/1),Exp4 C1 L1 (1/1),Exp4 C100 L1 (1/1),,,
G,B0,0.15625,0.15625,Exp3 C1 B10 (1/1),Exp3 C100 B10 (1/1),Exp3 C1 L10 (1/1),Exp3 C100 L10 (1/1),Exp4 C1 B10 (1/1),Exp4 C100 B10 (1/1),Exp4 C1 L10 (1/1),Exp4 C100 L10 (1/1),,,
H,TA,0.078125,0.078125,Exp3 C1 B100 (1/1),Exp3 C100 B100 (1/1),Exp3 C1 L100 (1/1),Exp3 C100 L100 (1/1),Exp4 C1 B100 (1/1),Exp4 C100 B100 (1/1),Exp4 C1 L100 (1/1),Exp4 C100 L100 (1/1),,,
,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,Plate 1,second reading on 20260308
A,Blk,10,10,Exp3 C0 B0 (1/1),Exp3 C10 B0 (1/1),Exp3 C0 L0 (1/1),Exp3 C10 L0 (1/1),Exp4 C0 B0 (1/1),Exp4 C10 B0 (1/1),Exp4 C0 L0 (1/1),Exp4 C10 L0 (1/1),Exp3 DMSO 0 (1/1),,
B,Blk,5,5,Exp3 C0 B1 (1/1),Exp3 C10 B1 (1/1),Exp3 C0 L1 (1/1),Exp3 C10 L1 (1/1),Exp4 C0 B1 (1/1),Exp4 C10 B1 (1/1),Exp4 C0 L1 (1/1),Exp4 C10 L1 (1/1),Exp3 DMSO 1 (1/1),,
C,NSB,2.5,2.5,Exp3 C0 B10 (1/1),Exp3 C10 B10 (1/1),Exp3 C0 L10 (1/1),Exp3 C10 L10 (1/1),Exp4 C0 B10 (1/1),Exp4 C10 B10 (1/1),Exp4 C0 L10 (1/1),Exp4 C10 L10 (1/1),Exp3 DMSO 10 (1/1),,
D,NSB,1.25,1.25,Exp3 C0 B100 (1/1),Exp3 C10 B100 (1/1),Exp3 C0 L100 (1/1),Exp3 C10 L100 (1/1),Exp4 C0 B100 (1/1),Exp4 C10 B100 (1/1),Exp4 C0 L100 (1/1),Exp4 C10 L100 (1/1),Exp3 DMSO 100 (1/1),,
E,B0,0.625,0.625,Exp3 C1 B0 (1/1),Exp3 C100 B0 (1/1),Exp3 C1 L0 (1/1),Exp3 C100 L0 (1/1),Exp4 C1 B0 (1/1),Exp4 C100 B0 (1/1),Exp4 C1 L0 (1/1),Exp4 C100 L0 (1/1),,,
F,B0,0.3125,0.3125,Exp3 C1 B1 (1/1),Exp3 C100 B1 (1/1),Exp3 C1 L1 (1/1),Exp3 C100 L1 (1/1),Exp4 C1 B1 (1/1),Exp4 C100 B1 (1/1),Exp4 C1 L1 (1/1),Exp4 C100 L1 (1/1),,,
G,B0,0.15625,0.15625,Exp3 C1 B10 (1/1),Exp3 C100 B10 (1/1),Exp3 C1 L10 (1/1),Exp3 C100 L10 (1/1),Exp4 C1 B10 (1/1),Exp4 C100 B10 (1/1),Exp4 C1 L10 (1/1),Exp4 C100 L10 (1/1),,,
H,TA,0.078125,0.078125,Exp3 C1 B100 (1/1),Exp3 C100 B100 (1/1),Exp3 C1 L100 (1/1),Exp3 C100 L100 (1/1),Exp4 C1 B100 (1/1),Exp4 C100 B100 (1/1),Exp4 C1 L100 (1/1),Exp4 C100 L100 (1/1),,,
,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,Plate 2,20260401
A,Blk,1000,1000,Exp1 C0 B0 (1/1),Exp1 C10 B0 (1/1),Exp1 C0 L0 (1/1),Exp1 C10 L0 (1/1),Exp2 C0 B0 (1/1),Exp2 C10 B0 (1/1),Exp2 C0 L0 (1/1),Exp2 C10 L0 (1/1),,,
B,Blk,500,500,Exp1 C0 B1 (1/1),Exp1 C10 B1 (1/1),Exp1 C0 L1 (1/1),Exp1 C10 L1 (1/1),Exp2 C0 B1 (1/1),Exp2 C10 B1 (1/1),Exp2 C0 L1 (1/1),Exp2 C10 L1 (1/1),,,
C,NSB,250,250,Exp1 C0 B10 (1/1),Exp1 C10 B10 (1/1),Exp1 C0 L10 (1/1),Exp1 C10 L10 (1/1),Exp2 C0 B10 (1/1),Exp2 C10 B10 (1/1),Exp2 C0 L10 (1/1),Exp2 C10 L10 (1/1),,,
D,NSB,125,125,Exp1 C0 B100 (1/1),Exp1 C10 B100 (1/1),Exp1 C0 L100 (1/1),Exp1 C10 L100 (1/1),Exp2 C0 B100 (1/1),Exp2 C10 B100 (1/1),Exp2 C0 L100 (1/1),Exp2 C10 L100 (1/1),,,
E,B0,62.5,62.5,Exp1 C1 B0 (1/1),Exp1 C100 B0 (1/1),Exp1 C1 L0 (1/1),Exp1 C100 L0 (1/1),Exp2 C1 B0 (1/1),Exp2 C100 B0 (1/1),Exp2 C1 L0 (1/1),Exp2 C100 L0 (1/1),,,
F,B0,31.25,31.25,Exp1 C1 B1 (1/1),Exp1 C100 B1 (1/1),Exp1 C1 L1 (1/1),Exp1 C100 L1 (1/1),Exp2 C1 B1 (1/1),Exp2 C100 B1 (1/1),Exp2 C1 L1 (1/1),Exp2 C100 L1 (1/1),,,
G,B0,15.625,15.625,Exp1 C1 B10 (1/1),Exp1 C100 B10 (1/1),Exp1 C1 L10 (1/1),Exp1 C100 L10 (1/1),Exp2 C1 B10 (1/1),Exp2 C100 B10 (1/1),Exp2 C1 L10 (1/1),Exp2 C100 L10 (1/1),,,
H,TA,7.8125,7.8125,Exp1 C1 B100 (1/1),Exp1 C100 B100 (1/1),Exp1 C1 L100 (1/1),Exp1 C100 L100 (1/1),Exp2 C1 B100 (1/1),Exp2 C100 B100 (1/1),Exp2 C1 L100 (1/1),Exp2 C100 L100 (1/1),,,
,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,Plate 3,20260401
A,Blk,1000,1000,Exp3 C0 B0 (1/1),Exp3 C10 B0 (1/1),Exp3 C0 L0 (1/1),Exp3 C10 L0 (1/1),Exp4 C0 B0 (1/1),Exp4 C10 B0 (1/1),Exp4 C0 L0 (1/1),Exp4 C10 L0 (1/1),Exp3 DMSO 0 (1/1),,
B,Blk,500,500,Exp3 C0 B1 (1/1),Exp3 C10 B1 (1/1),Exp3 C0 L1 (1/1),Exp3 C10 L1 (1/1),Exp4 C0 B1 (1/1),Exp4 C10 B1 (1/1),Exp4 C0 L1 (1/1),Exp4 C10 L1 (1/1),Exp3 DMSO 1 (1/1),,
C,NSB,250,250,Exp3 C0 B10 (1/1),Exp3 C10 B10 (1/1),Exp3 C0 L10 (1/1),Exp3 C10 L10 (1/1),Exp4 C0 B10 (1/1),Exp4 C10 B10 (1/1),Exp4 C0 L10 (1/1),Exp4 C10 L10 (1/1),Exp3 DMSO 10 (1/1),,
D,NSB,125,125,Exp3 C0 B100 (1/1),Exp3 C10 B100 (1/1),Exp3 C0 L100 (1/1),Exp3 C10 L100 (1/1),Exp4 C0 B100 (1/1),Exp4 C10 B100 (1/1),Exp4 C0 L100 (1/1),Exp4 C10 L100 (1/1),Exp3 DMSO 100 (1/1),,
E,B0,62.5,62.5,Exp3 C1 B0 (1/1),Exp3 C100 B0 (1/1),Exp3 C1 L0 (1/1),Exp3 C100 L0 (1/1),Exp4 C1 B0 (1/1),Exp4 C100 B0 (1/1),Exp4 C1 L0 (1/1),Exp4 C100 L0 (1/1),,,
F,B0,31.25,31.25,Exp3 C1 B1 (1/1),Exp3 C100 B1 (1/1),Exp3 C1 L1 (1/1),Exp3 C100 L1 (1/1),Exp4 C1 B1 (1/1),Exp4 C100 B1 (1/1),Exp4 C1 L1 (1/1),Exp4 C100 L1 (1/1),,,
G,B0,15.625,15.625,Exp3 C1 B10 (1/1),Exp3 C100 B10 (1/1),Exp3 C1 L10 (1/1),Exp3 C100 L10 (1/1),Exp4 C1 B10 (1/1),Exp4 C100 B10 (1/1),Exp4 C1 L10 (1/1),Exp4 C100 L10 (1/1),,,
H,TA,7.8125,7.8125,Exp3 C1 B100 (1/1),Exp3 C100 B100 (1/1),Exp3 C1 L100 (1/1),Exp3 C100 L100 (1/1),Exp4 C1 B100 (1/1),Exp4 C100 B100 (1/1),Exp4 C1 L100 (1/1),Exp4 C100 L100 (1/1),,,
,,standards in pg/mL,,,,,,,,,,,,
